MOLREGNO	MOL_TYPE	MOL_CHEMBL_ID	SMILE	ASSAYS	TID	TID_CHEMBL_ID	ACCESION	TAX_ID	STD_TYPE	VALUE_UM	PCHEMBL_VALUE	CLASS
2189045	Small molecule	CHEMBL3979674	CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccccc2[C@H]1C(=O)Nc1cccc2c1ccn2C)C(C)C	2	20130	CHEMBL4198	P98170	9606	IC50	4.651999999999999	6.215	1
2133618	Small molecule	CHEMBL3924247	CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2COC2)c(=O)n4C)cn1	2	20137	CHEMBL3797	Q13315	9606	IC50	0.00148	8.83	1
1338994	Small molecule	CHEMBL2023614	C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CSc1ccc2ccccc2n1	2	25	CHEMBL2034	P04150	9606	IC50	0.0118	8.01	1
1338999	Small molecule	CHEMBL2023619	C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CSc1nc2ncccc2o1	2	25	CHEMBL2034	P04150	9606	IC50	0.01946	8.45	1
1339557	Small molecule	CHEMBL2024171	Cc1cc(CC(CC(=O)N2CCC(N3Cc4cccc(F)c4NC3=O)CC2)c2ccccn2)cc2cn[nH]c12	2	19904	CHEMBL3798	Q16602	9606	IC50	0.027500000000000004	7.58	1
1339987	Small molecule	CHEMBL2024597	Cc1cc(CC(OC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)c2ccc3ccccc3n2)cc2cn[nH]c12	2	19904	CHEMBL3798	Q16602	9606	IC50	0.0031	8.585	1
1351632	Small molecule	CHEMBL2048202	CCN(Cc1ccccc1)C(=O)c1ccc(OC)c(CSc2nc3cc(F)ccc3n2CC(=O)O)c1	2	20174	CHEMBL5071	Q9Y5Y4	9606	IC50	0.61	6.22	1
1351327	Small molecule	CHEMBL2047900	CCc1c[nH]c2ccc(C[C@@H]3CS(=O)(=O)C[C@H](NCc4cccc(C(C)(C)C)c4)[C@H]3O)cc12	2	12252	CHEMBL4822	P56817	9606	IC50	0.47	6.415	1
1351330	Small molecule	CHEMBL2047903	CN(C)CC(=O)Nc1ccc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)cc1F	2	12252	CHEMBL4822	P56817	9606	IC50	0.1805	6.865	1
1351469	Small molecule	CHEMBL2048041	CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(OC4COC4)c3)[C@@H]2O)c1	2	12252	CHEMBL4822	P56817	9606	IC50	0.07150000000000001	7.265	1
1351475	Small molecule	CHEMBL2048047	CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)c1	4	12252	CHEMBL4822	P56817	9606	IC50	0.0285	7.979999999999999	1
1357761	Small molecule	CHEMBL2064354	O=c1cc(N2CCOCC2)nc(Cc2nc3cccc(F)c3o2)[nH]1	2	12576	CHEMBL3145	P42338	9606	IC50	0.23049999999999998	6.744999999999999	1
1357740	Small molecule	CHEMBL2064333	Cn1c(Cc2nc(N3CCOCC3)cc(=O)[nH]2)nc2cc(F)ccc21	2	12576	CHEMBL3145	P42338	9606	IC50	0.049	7.445	1
1515555	Small molecule	CHEMBL2316468	O=C(O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2	2	10188	CHEMBL260	Q16539	9606	IC50	0.2505	7.135	1
1515557	Small molecule	CHEMBL2316470	CNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2	2	10188	CHEMBL260	Q16539	9606	IC50	0.02	7.975	1
1530640	Small molecule	CHEMBL2348798	C[C@H](Oc1cccc([N+](=O)[O-])c1Cl)C(=O)Nc1ccc2oc(-c3ccncc3)nc2c1	2	102448	CHEMBL6145	Q8T6T2	5807	IC50	0.00415	8.43	1
2238151	Small molecule	CHEMBL4098240	Cc1cccc(F)c1CN1C[C@H](c2ccc(N(C)C3CCN(C)CC3)cc2)[C@@H](N(C)C)C1	2	105447	CHEMBL2189117	O75530	9606	IC50	0.22000000000000003	6.755	1
1425877	Small molecule	CHEMBL2159332	O=C(O)CCNC(=O)c1ccc(Cn2nc(-c3cc(Cl)cc(Cl)c3)cc2-c2ccc3ccc(OC(F)(F)F)cc3c2)cc1	2	146	CHEMBL1985	P47871	9606	IC50	0.1266	6.955	1
1425887	Small molecule	CHEMBL2159342	CC(C)c1ccc2cc(-c3cc(-c4cc(Cl)cc(Cl)c4)nn3[C@@H](C)c3ccc(C(=O)NCCC(=O)O)cc3)ccc2c1	2	146	CHEMBL1985	P47871	9606	IC50	0.0088	8.125	1
1431591	Small molecule	CHEMBL2172091	O=C(O)c1cccc(S(=O)(=O)N2CCc3cccc(Cl)c3C2)c1	4	100481	CHEMBL4681	P42330	9606	IC50	0.0212625	7.677499999999999	1
1439441	Small molecule	CHEMBL2178644	C/C(=N\O)c1cccc(C(C)(C)NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)c1	2	102448	CHEMBL6145	Q8T6T2	5807	IC50	0.0025	8.7	1
1444200	Small molecule	CHEMBL2203300	COC(=O)c1cnc(Nc2cnc(C#N)c(O[C@@H]3CCNC3)n2)cc1SC	2	12967	CHEMBL4630	O14757	9606	IC50	0.20400000000000001	7.08	1
478133	Small molecule	CHEMBL521697	CC(C)[C@]1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC[C@@H](NC2CCSCC2)C1	2	11575	CHEMBL4015	P41597	9606	IC50	0.028985	7.550000000000001	1
2218848	Small molecule	CHEMBL4078937	CC1(c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CCN1c1ccc(CC2CC2)cc1	2	19	CHEMBL206	P03372	9606	IC50	0.00355	8.705	1
276734	Small molecule	CHEMBL1336	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	1	102394	CHEMBL6020	O95342	9606	IC50	8.0	5.1	1
1530799	Small molecule	CHEMBL2348956	FC(F)(F)c1cccc(Sc2ccc3nnc(C4CC4)n3n2)c1	2	103154	CHEMBL1075104	Q5S007	9606	IC50	0.6515	6.255	1
1559853	Small molecule	CHEMBL2380454	COc1cccc(-c2cccc(C3(C)N=C(N)CS3)c2)c1	2	12252	CHEMBL4822	P56817	9606	IC50	5.550000000000001	5.3	1
1559854	Small molecule	CHEMBL2380455	COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)CS2)cc1	2	12252	CHEMBL4822	P56817	9606	IC50	0.595	6.25	1
1560673	Small molecule	CHEMBL2381266	CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(C3CCNC3)ccc1-2	2	11362	CHEMBL4005	P42336	9606	IC50	0.012750000000000001	8.22	1
1560661	Small molecule	CHEMBL2381254	CNC(=O)c1ccc2c(c1)OCCn1cc(-c3ncnn3C(C)C)nc1-2	2	11362	CHEMBL4005	P42336	9606	IC50	0.25965	7.385	1
927784	Small molecule	CHEMBL1503900	Cc1ccc(Nc2nc3ccccc3n3nnnc23)cc1	2	101462	CHEMBL6164	O95271	9606	IC50	0.6924100000000001	6.4	1
2226270	Small molecule	CHEMBL4086359	Fc1ccc(Nc2nc3ccccc3n3nnnc23)cc1	2	101462	CHEMBL6164	O95271	9606	IC50	2.3060150000000004	5.800000000000001	1
1525552	Small molecule	CHEMBL2335888	CC(=O)N(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1	4	100126	CHEMBL5145	P15056	9606	IC50	0.058635	7.23	1
1525540	Small molecule	CHEMBL2335876	COCCNC(=O)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1C	4	100126	CHEMBL5145	P15056	9606	IC50	0.17755750000000003	6.805	1
1573339	Small molecule	CHEMBL2408921	CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCNS(=O)(=O)c1ccc(F)cc1	2	12955	CHEMBL3891	P07384	9606	IC50	0.125	6.91	1
1573338	Small molecule	CHEMBL2408920	CC(C)C[C@H](NC(=O)[C@@H]1O[C@H]1C(=O)O)C(=O)Nc1nc(-c2ccc(F)cc2)cs1	2	12955	CHEMBL3891	P07384	9606	IC50	0.21250000000000002	6.68	1
2201226	Small molecule	CHEMBL4061315	O=C(NCCN1CCOCC1)c1ccc2c(c1)C(=O)c1ccc(Nc3cc(NC(=O)c4cccs4)c(F)cc3F)cc1CC2	2	10188	CHEMBL260	Q16539	9606	IC50	0.022000000000000002	8.185	1
